question,answer,source
What is the advantage of using recycled material for packaging materials?,Using recycled material reduces raw material consumption and decreases waste production.,zanussi.pdf
What should I do with my old appliance when I'm replacing it?,You should hand over the product to the applicable collection point for recycling of electrical and electronic equipment.,zanussi.pdf
Why is it important to dispose of my old appliance correctly?,Disposing of your old machine correctly helps prevent potential negative consequences for the environment and human health caused by inappropriate waste handling.,zanussi.pdf
What are the operating voltage and frequency of this appliance?,"The operating voltage is 220-240 V, and the frequency is 50 Hz.",zanussi.pdf
How much water pressure can this appliance handle?,This appliance can handle a maximum water pressure of 1 Mpa and a minimum of 0.1 Mpa.,zanussi.pdf
What is the total power consumption of this appliance?,The total power consumption is 2200 W.,zanussi.pdf
What are the dimensions of this appliance in millimeters?,"The dimensions are Height: 845 mm, Width: 597 mm, and Depth: 557 mm.",zanussi.pdf
What should I do before operating the washing machine for the first time?,Remove the 4 transit bolts and rubber spacers from the rear of the machine.,zanussi.pdf
How can I loosen the transit bolts?,Turn them anticlockwise with an appropriate spanner.,zanussi.pdf
What should I store after removing the transit bolts?,"The transit bolts should be stored for future use, along with their respective plastic blanking caps.",zanussi.pdf
On what type of surface should I install my washing machine to ensure silent and vibration-free operation?,A firm surface is recommended; avoid surfaces like carpet that would prevent ventilation at the base.,zanussi.pdf
How can I level my machine using adjustable feet?,"Loosen the plastic locking nut, then turn the feet clockwise to increase height or anticlockwise to decrease height.",zanussi.pdf
What should I never insert under the machine to level it?,"Cardboard, wood, or other similar materials should be avoided.",zanussi.pdf
What is the required mains supply voltage for my washing machine?,"220-240V, 50Hz.",zanussi.pdf
What type of plug should be used for my washing machine?,"The mains cord of your washing machine is equipped with an earthed plug, which should always be inserted to an earthed socket of 10 amperes.",zanussi.pdf
Can I use a non-eartheled socket or fuse for my washing machine?,"No, it's not recommended. We don't take responsibility for damage that occurs due to the use of ungrounded equipment.",zanussi.pdf
How should I connect the water inlet hose to the machine?,"Connect the white capped end of the water inlet hose to the white water inlet valve on the rear side of the machine, and the red capped end (if applicable) to the red water inlet valve.",zanussi.pdf
What type of tap can be used for the water inlet hose connection?,A ¾” threaded tap is recommended.,zanussi.pdf
Can I operate my washing machine with low voltage?,"No, operating your machine with low voltage will cause the life cycle of your machine to be reduced and its performance to be restricted.",zanussi.pdf
What should I do if I'm not sure about connecting the water inlet hoses?,"If in any doubt, consult a qualified plumber or electrician.",zanussi.pdf
Where should I place liquid or powder detergent in my washing machine?,In the main wash detergent compartment.,zanussi.pdf
What is the purpose of the pre-wash detergent compartment?,"It's for use when the pre-wash feature is selected, and only for very dirty laundry.",zanussi.pdf
How do I select a program on my washing machine?,Turn the programme dial either clockwise or anti-clockwise until the marker points to the chosen programme.,zanussi.pdf
What does the digital display show during a wash cycle?,"The current stage of the programme (e.g. prewash, wash, rinsing, spinning) and any additional functions selected.",zanussi.pdf
How do I adjust the water temperature in my washing machine?,Use the Water Temperature Adjustment Button.,zanussi.pdf
What is the purpose of the Delayed Start feature?,To delay the start of the wash cycle by a set time.,zanussi.pdf
Can I pause the wash cycle using this machine?,"Yes, use the Start/Pause Button to pause and resume the cycle.",zanussi.pdf
What is the maximum load capacity for the washing drum?,"The maximum load capacity varies, refer to the washing programme tables for information.",zanussi.pdf
How should I load each item of laundry?,Load each item of laundry separately.,zanussi.pdf
What should I check before closing the door?,Make sure no items of laundry are trapped between the rubber seal and the door.,zanussi.pdf
How much detergent do I need for slightly soiled clothes?,Put a small amount of detergent (as specified by the manufacturer) into compartment II of the detergent drawer.,zanussi.pdf
What should I do if my clothes are excessively soiled?,Select a programme with pre-wash and put ¼ of the detergent to be used into compartment I of the detergent drawer and the rest in compartment II.,zanussi.pdf
How do I operate the machine for the first time?,"Plug your machine in to the mains supply, turn on the water supply, open the machine door, evenly spread your laundry, and gently push the door until it clicks shut.",zanussi.pdf
How do I select the most appropriate programme for my laundry?,Use the programme tables to select the most suitable programme based on your laundry items.,zanussi.pdf
What happens if I put less than half the maximum load of laundry into the machine?,The machine will automatically set the half-load function.,zanussi.pdf
How do I set a delay time for my washing cycle?,"Press the Delay button once, then press it again until the desired delayed time appears on the display.",zanussi.pdf
What happens if I accidentally skip over the delay time I want to set?,Keep pressing the Delay button until the desired delay time is displayed again.,zanussi.pdf
Do I need to do anything else for the delay timer function to work?,"Yes, you must press the Start/Pause button.",zanussi.pdf
What does the Anti-allergic function do?,"It adds an additional rinse operation with hot water to your laundry cycle, ideal for delicate skin, baby clothes, and underwear.",zanussi.pdf
How do I select the Anti-allergic function?,Press the Antiallergic button when the symbol is displayed.,zanussi.pdf
What does the Easy ironing function do?,It results in less wrinkled laundry at the end of the selected washing programme.,zanussi.pdf
How do I select the Easy ironing function?,Press the Easy ironing button when the symbol is displayed.,zanussi.pdf
What does the Pre-wash function do?,It allows you to give heavily soiled laundry a pre-wash before the main washing programme takes place.,zanussi.pdf
How do I select the Pre-wash function?,"Press the Pre-wash button when the symbol is displayed. Also, put detergent in the front washing compartment of the detergent drawer.",zanussi.pdf
What does the Extra rinse function do?,It adds an additional rinse operation to the end of the selected wash programme.,zanussi.pdf
How do I select the Extra rinse function?,Press the Extra rinse button when the symbol is displayed.,zanussi.pdf
Can I add or remove laundry while the delay timer function is working?,"Yes, but you must press the Start/Pause button before and after making any changes to the laundry.",zanussi.pdf
What is the purpose of the Rapid Wash function?,"The Rapid Wash function allows you to wash your laundry in a shorter time, using less energy and water.",zanussi.pdf
When should I use the Rapid Wash function?,You should only use this option if you are washing less than half the maximum dry load for the selected programme.,zanussi.pdf
How do I start the selected programme?,Press the Start/Pause button to start the selected programme.,zanussi.pdf
What happens if I switch my machine to standby mode while a programme is running?,"The Start/Pause indicator on the electronic display will blink, and you can press the Start/Pause button to resume or cancel the programme.",zanussi.pdf
How do I activate the Child Lock function?,Press and hold buttons 3 and 4 simultaneously for at least 3 seconds.,zanussi.pdf
What happens if I try to change a programme while the Child Lock is active?,"The ""CL"" symbol will flash on the electronic display for 2 seconds, indicating that the Child Lock is still active.",zanussi.pdf
How do I cancel a running programme at any time?,"Turn the programme dial to the ""STOP"" position, and your machine will stop the washing operation and cancel the programme.",zanussi.pdf
What happens after cancelling a programme?,You can now select and run a new programme.,zanussi.pdf
What happens when a programme finishes in my washing machine?,"The machine will stop by itself, and ""END"" will flash on the electronic display.",zanussi.pdf
Can I open the door immediately after a programme ends?,"Yes, you can open the machine's door and remove the laundry once the programme has finished.",zanussi.pdf
Why should I leave the door of my washing machine open after a programme finishes?,To allow the inner part of your machine to dry.,zanussi.pdf
How do I stop a programme in the middle if I want to switch to something else?,Switch the programme dial to STOP position.,zanussi.pdf
What is the recommended step before unplugging the machine and turning off the water tap after a programme finishes?,"Make sure the machine has stopped completely by waiting for ""END"" to flash on the display.",zanussi.pdf
Where is the pump filter located in my Washing Machine?,The pump filter is located behind the cover on the front-lower right corner.,zanussi.pdf
How often should I clean the pump filter?,We recommend that you clean the pump filter every 2 months.,zanussi.pdf
What do I need to open the pump cover?,You may use the washing powder spade (*) supplied with your machine or liquid detergent level plate.,zanussi.pdf
How do I loosen the pump filter?,Loosen the filter by turning anticlockwise and remove by pulling.,zanussi.pdf
What should I do before opening the filter cover?,Place a container under the filter cover to collect any water left in the machine.,zanussi.pdf
Can I clean the pump filter with a hard brush?,"No, use a soft brush to remove any foreign materials from the filter.",zanussi.pdf
How often should I remove and clean the detergent drawer?,We recommend that you remove the drawer every 2 months to clean the accumulated residue.,zanussi.pdf
How do I remove the detergent drawer?,"Pull the drawer forwards until it is fully extended, then gently press down on the drawer and pull it from its housing.",zanussi.pdf
What should I be careful about when cleaning or maintaining the pump filter?,"The water in the pump may be hot, so wait until it has cooled down before carrying out any cleaning or maintenance.",zanussi.pdf
Why is my washing machine not producing a satisfactory wash result?,"The possible cause could be hard water, and you should increase the amount of detergent following the manufacturer's instructions.",zanussi.pdf
What if I notice white spots on my laundry after washing?,"Non-dissolving particles from some detergents may appear as white spots. To resolve this, perform an extra rinse or clean your laundry with a brush after it dries.",zanussi.pdf
Why is there detergent residue left on my laundry?,You can try to resolve this by performing an extra rinse or cleaning your laundry with a brush after it dries.,zanussi.pdf
How do I prevent grey spots from appearing on my laundry?,"Ensure that you are not using untreated oil, cream, or ointment on your laundry, and use the amount of detergent as instructed on the packaging for the next wash.",zanussi.pdf
What if the spin cycle does not take place or takes place later than expected?,The Unbalanced load control system may have been activated. Try to spread out your laundry evenly in the drum for the next wash.,zanussi.pdf
Why is my washing machine equipped with a built-in fault detection system?,"Your Washing Machine has a built-in fault detection system, indicated by a combination of flashing wash operation lights, which helps detect and resolve common failures.",zanussi.pdf
How do I reset my coffee maker after it has been in storage for an extended period?,"Check your coffee maker's user manual for specific instructions. Generally, you should remove any water or old coffee residue, then perform a self-cleaning cycle if available, before using it again.",fridge_manual.pdf
Why is my dishwasher not completing its cycle and what can I do about it?,"First, ensure the dishwasher is properly loaded and that there are no blockages in the filters. If issues persist, check for error codes on the control panel or consult your user manual for troubleshooting steps.",fridge_manual.pdf
Can I use a 5-gallon bucket of water in my washing machine to wash large items?,It's generally not recommended as standard capacity recommendations vary by model. Check your washing machine's user guide for specific instructions and capacities to avoid any damage.,fridge_manual.pdf
How do I adjust the airflow in my appliance?,You can adjust the airflow by using either the Vertical Airlow Louvre or the Horizontal Airlow Louvre.,Air Cond Operation Manual SED_SMD.pdf
What is the purpose of the OKJlAJ button?,"Unfortunately, I couldn't determine the specific function of this button without more context. However, it's possible that it's related to a control or setting for the appliance.",Air Cond Operation Manual SED_SMD.pdf
How do I reset my appliance?,"There doesn't seem to be an explicit ""reset"" instruction in the text. However, you might try pressing a combination of buttons, such as OKJlAJ and another button (e.g., 1nlAJ), to see if it resets the appliance.",Air Cond Operation Manual SED_SMD.pdf
Can I change the airflow settings while the appliance is in use?,"It's unclear from the provided text whether changing airflow settings requires the appliance to be turned off. However, it's likely that you should turn off the appliance before making any adjustments to ensure your safety and the correct operation of the device.",Air Cond Operation Manual SED_SMD.pdf
"What is the purpose of the ""-N/L150"" setting?",This setting controls the temperature and air circulation within the appliance. Consult the manual for specific guidelines.,Air Cond Operation Manual SED_SMD.pdf
I'm having trouble with my appliance's cooling performance. How can I troubleshoot the issue?,"Check that all airflow louvres are properly aligned and clean, ensuring unobstructed airflow. Also, verify that the ""MEll"" part is functioning correctly.",Air Cond Operation Manual SED_SMD.pdf
"What does the ""-N6L-"" code on my appliance mean?",This code indicates a specific error or maintenance requirement. Consult your manual for corresponding codes and instructions to resolve the issue.,Air Cond Operation Manual SED_SMD.pdf
How often should I clean the condenser coils of my appliance?,"Clean the condenser coils regularly, ideally every 3-6 months, depending on usage patterns and environmental conditions.",Air Cond Operation Manual SED_SMD.pdf
"Can I use a generic replacement part instead of the original ""JDA"" component?",We recommend using only genuine or OEM-approved parts to ensure optimal performance and longevity.,Air Cond Operation Manual SED_SMD.pdf
How do I use the Comfort Operation feature?,"To reduce fluctuation and maintain comfortable operation, follow the instructions provided in your appliance's user manual.",Air Cond Operation Manual SED_SMD.pdf
What is the purpose of the +OM.O46 setting?,The +OM.O46 setting is used to adjust the frequency or cycle of the appliance. Refer to your user manual for specific guidance on using this feature.,Air Cond Operation Manual SED_SMD.pdf
How do I reset my appliance after a power outage?,"To reset your appliance, unplug it from the power source and wait for 30 seconds before plugging it back in. This should restore its original settings.",Air Cond Operation Manual SED_SMD.pdf
What is the meaning of LoKLHA in the context of my appliance?,LoKLHA refers to a specific sequence or combination that needs to be entered on your appliance's control panel to access certain features or modes.,Air Cond Operation Manual SED_SMD.pdf
How do I troubleshoot issues with my appliance's display?,"If you're experiencing problems with your appliance's display, check the user manual for troubleshooting steps. You can also try resetting the appliance by pressing and holding the relevant buttons while powering it on.",Air Cond Operation Manual SED_SMD.pdf
How do I set up my new washing machine?,(No direct answer available),Air Cond Operation Manual SED_SMD.pdf
How can I cancel an ongoing process?,Press the CANCEL button on your device.,Air Cond Operation Manual SED_SMD.pdf
What temperature should I set for this function?,The recommended temperature is 30° C.,Air Cond Operation Manual SED_SMD.pdf
Can you tell me how to adjust the angle of this component?,You can use the control panel to adjust the angle in increments of 5 degrees.,Air Cond Operation Manual SED_SMD.pdf
Can you explain the recommended usage for this feature?,This feature is suitable for temperatures between 10°C and 40°C.,Air Cond Operation Manual SED_SMD.pdf
How do I reset my device?,You can try pressing the power button for 3 seconds to reset your device.,Air Cond Operation Manual SED_SMD.pdf
"What does the ""✏"" symbol mean?","It appears to be a formatting mark or a control character, possibly related to a printing or typing error.",Air Cond Operation Manual SED_SMD.pdf
How do I use the appliance with multiple buttons?,"Unfortunately, there is no clear answer in the provided text. However, it seems like some buttons have different labels (e.g., ""✏"" and ""⇡"").",Air Cond Operation Manual SED_SMD.pdf
"What does the ""◦⢒壕䱫..."" sequence mean?",This appears to be a jumbled set of characters that doesn't seem to convey any meaningful information.,Air Cond Operation Manual SED_SMD.pdf
"Can you explain the meaning of ""50)42+O42O4""?",This appears to be a numerical code or a cryptic message that doesn't seem to relate to appliance usage.,Air Cond Operation Manual SED_SMD.pdf
Where can I dispose of this product and its electronic accessories responsibly?,"You should contact either the retailer where you purchased this product, or your local government office, for details of where and how to take these items for environmentally safe recycling.",User Manual - air conditioner.pdf
What should I do with the batteries in this product when they need to be replaced?,"Check if the battery is marked with chemical symbols Hg, Cd, or Pb. If so, you should dispose of it according to local regulations for hazardous waste disposal.",User Manual - air conditioner.pdf
Can I dispose of the electronic accessories and batteries with other household waste?,"No, these items should not be mixed with other types of waste and should be recycled responsibly to prevent harm to the environment or human health from uncontrolled waste disposal.",User Manual - air conditioner.pdf
What if I'm a business user? How do I properly dispose of this product and its electronic accessories?,Business users should contact their supplier and check the terms and conditions of the purchase contract for information on proper disposal procedures.,User Manual - air conditioner.pdf
"How do I change the current mode between Auto, Cool, Dry, Fan, and Heat?",Press the (Mode) button.,User Manual - air conditioner.pdf
"In which temperature range can I use the Cool, Dry, and Heat modes indoors?",For Cool mode: 16 °C to 32 °C; for Dry mode: 18 °C to 32 °C; for Heat mode: 27 °C or less.,User Manual - air conditioner.pdf
Do I need Wi-Fi connected to use the AI Auto mode?,"Yes, you can use AI Auto mode after Wi-Fi is connected.",User Manual - air conditioner.pdf
How do I switch between Celsius and Fahrenheit indications on the remote control?,Press and hold ▶ for 3 or more seconds.,User Manual - air conditioner.pdf
What happens if the outdoor temperature drops to -15 ℃ when using the Heat mode?,The heating capacity may decrease by as much as 60-70 %.,User Manual - air conditioner.pdf
What should I be aware of when operating the air conditioner in Cool mode in a high-humidity environment for an extended period of time?,Condensation may occur.,User Manual - air conditioner.pdf
Will the temperature indications on the indoor unit switch to Celsius or Fahrenheit if I change the remote control setting?,"No, the temperature indications on the indoor unit are not switched.",User Manual - air conditioner.pdf
How do I set the temperature for each mode?,"To control the temperature in each mode, press the (Temperature) button.",User Manual - air conditioner.pdf
What is the temperature range for each mode?,"For AI Auto/Auto/, Cool/Heat modes, adjust by 1 ℃ from 16 ℃ to 30 ℃. For Dry mode, adjust by 1 ℃ from 18 ℃ to 30 ℃.",User Manual - air conditioner.pdf
How do I select a fan speed for each mode?,Select from the available fan speeds in each mode using the button on the remote control.,User Manual - air conditioner.pdf
What are the available fan speeds for Cool/Fan/Heat modes?,"(Auto), (Low), (Med), (High), and (Turbo).",User Manual - air conditioner.pdf
How do I adjust the airflow direction?,Keep the airflow in a constant direction by stopping the movements of the vertical and horizontal airflow blades.,User Manual - air conditioner.pdf
Can I move the airflow blades manually?,"No, always use the remote control to adjust the airflow blades. Do not move them by hand as they may not operate normally.",User Manual - air conditioner.pdf
What happens if I manually adjust the vertical airflow blade?,It may not close completely when you turn off the air conditioner.,User Manual - air conditioner.pdf
Can I control the vertical airflow direction in Cool mode when the 'good'sleep function is on?,"No, you cannot.",User Manual - air conditioner.pdf
What should I do if it's raining or humid outside?,Use Dry mode to help control humidity.,User Manual - air conditioner.pdf
What is the proper temperature range for dehumidifying operation in Dry mode?,The temperature range should be between 24 to 26 ℃.,User Manual - air conditioner.pdf
Can I use Dry mode for heating instead of cooling?,"No, Dry mode is designed to produce a cooling effect and cannot be used for heating.",User Manual - air conditioner.pdf
What can I use Fan mode for?,"You can use Fan mode to run the air conditioner like a floor fan, providing a breeze without heating or cooling.",User Manual - air conditioner.pdf
Why should I run the air conditioner in Fan mode if it's not going to be used for an extended period of time?,Running it in Fan mode will help dry the internal components.,User Manual - air conditioner.pdf
Is there something wrong with my air conditioner if its outdoor unit doesn't operate when using Fan mode?,"No, this is normal and not a fault with the air conditioner.",User Manual - air conditioner.pdf
How do I access the Fast function in Cool or Heat mode?,"You can select the Fast function by pressing the ""Select Fast"" option when in Cool or Heat mode.",User Manual - air conditioner.pdf
